internship_title,internship_company,required_skills,internship_location,required_education,Stipend,mode,duration
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA,"3,787.00",hybrid,7 months
QA Engineer,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Data Analysis, Python, React",Pune,M.Sc,"1,735.00",hybrid,7 months
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA,"7,176.00",hybrid,2 months
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Circuit Design, R&D, Quality Control",Pune,MBA,"2,779.00",in-person,5 months
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD,"8,819.00",in-person,10 months
Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD,"1,949.00",online,7 months
Site Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Construction Management, Civil Engineering, Surveying",Lucknow,PhD,"6,596.00",online,11 months
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"SQL, Java, DevOps",Ahmedabad,BA,"3,445.00",in-person,4 months
Machine Learning Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Data Analysis, Cybersecurity, SQL, DevOps",Hyderabad,MBA,"2,214.00",online,7 months
Surveyor,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED,"Safety Management, Surveying, Project Management, Construction Management",Bangalore,BCA,"7,475.00",online,3 months
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Petroleum Engineering, Field Operations",Ahmedabad,B.Sc,"6,832.00",hybrid,5 months
Marketing Executive,GLENMARK PHARMACEUTICALS LIMITED,"Product Development, Distribution, Marketing, Retail Management",Delhi,B.Tech,"7,165.00",in-person,12 months
Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc,"9,792.00",online,7 months
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc,"3,963.00",online,3 months
RF Engineer,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"Network Engineering, Telecom Infrastructure, IoT, Wireless Communication",Kolkata,Diploma,"9,016.00",in-person,2 months
DevOps Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Cybersecurity, SQL, JavaScript, Python",Remote,B.Tech,"7,267.00",hybrid,8 months
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com,"8,231.00",online,7 months
Hardware Engineer,HONEYWELL AUTOMATION INDIA LIMITED,"PCB Design, R&D, Quality Control, Circuit Design",Hyderabad,PhD,"3,142.00",online,9 months
Cloud Architect,NATIONAL PAYMENTS CORPORATION OF INDIA,"Python, DevOps, Data Analysis",Remote,PhD,"7,315.00",in-person,3 months
Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech,"6,617.00",online,10 months
Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA,"5,700.00",hybrid,6 months
Site Engineer,SHREE CEMENT LIMITED,"Quality Control, Safety Management",Mumbai,MBA,"8,148.00",online,2 months
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA,"6,865.00",online,7 months
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, React, JavaScript",Hyderabad,BCA,"9,516.00",hybrid,2 months
QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com,"5,595.00",online,4 months
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc,"6,484.00",hybrid,11 months
Exploration Geologist,JINDAL ALUMINIUM LIMITED,"Ore Processing, Exploration, Geology",Hyderabad,B.Com,"9,817.00",in-person,10 months
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com,"7,224.00",hybrid,12 months
Software Developer,PRESTIGE ESTATES PROJECTS LIMITED,"Cybersecurity, Java, SQL",Pune,B.Com,"6,404.00",in-person,9 months
Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma,"7,610.00",online,12 months
Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA,"3,525.00",in-person,11 months
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com,"8,112.00",hybrid,6 months
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com,"3,701.00",in-person,8 months
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc,"6,154.00",online,9 months
Web Developer,SUN TV NETWORK LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech,"1,848.00",in-person,11 months
Site Engineer,BHILOSA INDUSTRIES PRIVATE LIMITED,"Project Management, Quality Control, Civil Engineering, Safety Management",Chennai,B.Sc,"1,927.00",hybrid,5 months
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc,"2,765.00",online,11 months
Mining Engineer,JINDAL SAW LIMITED,"Mining Engineering, Environmental Compliance",Delhi,B.Sc,"6,745.00",online,9 months
Renewable Energy Specialist,NHPC LIMITED,"Power Plant Operations, Electrical Engineering",Mumbai,Diploma,"3,577.00",online,12 months
Power Plant Operator,INDIAN ENERGY EXCHANGE LIMITED,"Electrical Engineering, Renewable Energy",Jaipur,BCA,"2,701.00",in-person,5 months
Surveyor,IREL (INDIA) LIMITED,"Safety Management, Geology",Bangalore,MBA,"7,823.00",hybrid,4 months
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA,"8,476.00",hybrid,11 months
