internship_title,internship_company,required_skills,internship_location,required_education
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
QA Engineer,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Data Analysis, Python, React",Pune,M.Sc
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Circuit Design, R&D, Quality Control",Pune,MBA
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
Site Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Construction Management, Civil Engineering, Surveying",Lucknow,PhD
Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"SQL, Java, DevOps",Ahmedabad,BA
Machine Learning Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Data Analysis, Cybersecurity, SQL, DevOps",Hyderabad,MBA
Surveyor,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED,"Safety Management, Surveying, Project Management, Construction Management",Bangalore,BCA
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Petroleum Engineering, Field Operations",Ahmedabad,B.Sc
Marketing Executive,GLENMARK PHARMACEUTICALS LIMITED,"Product Development, Distribution, Marketing, Retail Management",Delhi,B.Tech
Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
RF Engineer,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"Network Engineering, Telecom Infrastructure, IoT, Wireless Communication",Kolkata,Diploma
DevOps Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Cybersecurity, SQL, JavaScript, Python",Remote,B.Tech
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
Hardware Engineer,HONEYWELL AUTOMATION INDIA LIMITED,"PCB Design, R&D, Quality Control, Circuit Design",Hyderabad,PhD
Cloud Architect,NATIONAL PAYMENTS CORPORATION OF INDIA,"Python, DevOps, Data Analysis",Remote,PhD
Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech
Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
Site Engineer,SHREE CEMENT LIMITED,"Quality Control, Safety Management",Mumbai,MBA
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, React, JavaScript",Hyderabad,BCA
QA Engineer,BARCLAYS GLOBAL SERVICE CENTRE PRIVATE LIMITED,"React, DevOps, Cybersecurity",Chennai,B.Com
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
Exploration Geologist,JINDAL ALUMINIUM LIMITED,"Ore Processing, Exploration, Geology",Hyderabad,B.Com
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
Software Developer,PRESTIGE ESTATES PROJECTS LIMITED,"Cybersecurity, Java, SQL",Pune,B.Com
Thermal Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Transmission, Electrical Engineering",Mumbai,Diploma
Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com
Safety Officer,BHUSHAN POWER & STEEL LIMITED,"Ore Processing, Exploration, Surveying, Environmental Compliance",Remote,B.Com
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc
Web Developer,SUN TV NETWORK LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
Site Engineer,BHILOSA INDUSTRIES PRIVATE LIMITED,"Project Management, Quality Control, Civil Engineering, Safety Management",Chennai,B.Sc
Freight Coordinator,ADANI HAZIRA PORT LIMITED,"Warehouse Operations, Supply Chain Management",Jaipur,B.Sc
Mining Engineer,JINDAL SAW LIMITED,"Mining Engineering, Environmental Compliance",Delhi,B.Sc
Renewable Energy Specialist,NHPC LIMITED,"Power Plant Operations, Electrical Engineering",Mumbai,Diploma
Power Plant Operator,INDIAN ENERGY EXCHANGE LIMITED,"Electrical Engineering, Renewable Energy",Jaipur,BCA
Surveyor,IREL (INDIA) LIMITED,"Safety Management, Geology",Bangalore,MBA
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
Quality Inspector,AARTI INDUSTRIES LTD,"Structural Design, Project Management, Estimation",Mumbai,BCA
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
Retail Manager,ITC LIMITED,"Marketing, Sales, Brand Management",Bangalore,MBA
Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
Relationship Manager,DCB BANK LIMITED,"Wealth Management, Financial Modeling, Auditing, Taxation",Jaipur,M.Sc
Quality Inspector,ULTRATECH CEMENT LIMITED,"Construction Management, Quality Control, Surveying",Ahmedabad,BA
QA Engineer,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX),"Cybersecurity, Cloud Computing",Chennai,B.Sc
Product Manager,ZYDUS LIFESCIENCES LIMITED,"Sales, Marketing",Pune,B.Sc
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
Loan Officer,AXIS BANK LIMITED,"Taxation, Risk Management, Investment Banking, Wealth Management",Remote,PhD
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA
QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech
Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma
DevOps Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Python, Machine Learning, SQL",Mumbai,BCA
Relationship Manager,HDFC BANK LIMITED,"Loan Processing, Financial Modeling, Auditing, Accounting",Mumbai,M.Sc
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
Project Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Structural Design, Project Management",Jaipur,BA
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
Data Analyst,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"Cloud Computing, Java",Lucknow,B.Com
Software Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"React, Cloud Computing, Cybersecurity",Remote,B.Tech
Distribution Executive,DIVI S LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Sales",Pune,Diploma
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
Consumer Insights Analyst,ALKEM LABORATORIES LIMITED,"Consumer Insights, Distribution, Brand Management, Retail Management",Pune,Diploma
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Construction Management",Ahmedabad,M.Sc
Product Manager,MICRO LABS LIMITED,"Retail Management, Supply Chain",Mumbai,BBA
IT Support,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Cloud Computing, Data Analysis",Pune,B.Com
Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
QA Engineer,GENPACT INDIA PRIVATE LIMITED,"JavaScript, SQL, Machine Learning",Hyderabad,BBA
Web Developer,REC LIMITED,"Data Analysis, DevOps, Java",Mumbai,BCA
Product Manager,SUVEN PHARMACEUTICALS LIMITED,"Distribution, Retail Management, Sales",Lucknow,PhD
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc
Safety Officer,WELSPUN LIVING LIMITED,"Construction Management, Quality Control, Civil Engineering",Mumbai,M.Sc
Consumer Insights Analyst,MANKIND PHARMA LIMITED,"Consumer Insights, Marketing",Kolkata,BCA
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
Mining Engineer,MOIL LIMITED,"Geology, Ore Processing",Mumbai,BBA
Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"Python, JavaScript, Java, Cybersecurity",Pune,B.Sc
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com
DevOps Engineer,ORACLE INDIA PRIVATE LIMITED,"DevOps, Java, Data Analysis, SQL",Chennai,B.Sc
QA Engineer,DLF LIMITED,"DevOps, JavaScript",Lucknow,MBA
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech
Structural Engineer,SRF LIMITED,"Construction Management, Structural Design, Civil Engineering",Pune,BA
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
Treasury Analyst,RBL BANK LIMITED,"Auditing, Taxation",Remote,PhD
Construction Manager,MSPL LIMITED,"Construction Management, Project Management, Safety Management, Civil Engineering",Pune,Diploma
Petroleum Engineer,INDIAN OIL CORPORATION LIMITED,"Geology, Drilling Operations",Delhi,BCA
IT Support,WHIRLPOOL OF INDIA LIMITED,"Java, Cloud Computing, Cybersecurity, React",Delhi,BA
IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA
Software Developer,TATA CAPITAL FINANCIAL SERVICES LIMITED,"SQL, Data Analysis, DevOps",Lucknow,BCA
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA
Distribution Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Marketing, Product Development, Distribution, Consumer Insights",Jaipur,MBA
Grid Engineer,SHYAM SEL AND POWER LIMITED,"Renewable Energy, Thermal Power, Electrical Engineering, Maintenance",Hyderabad,M.Sc
Ore Processing Technician,THRIVENI EARTHMOVERS PRIVATE LIMITED,"Mining Engineering, Safety Management",Bangalore,B.Com
Quality Inspector,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Civil Engineering, Construction Management, Structural Design",Ahmedabad,B.Tech
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
Web Developer,HCL TECHNOLOGIES LIMITED,"Data Analysis, Cloud Computing, Python",Pune,B.Com
Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc
Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech
IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, SQL",Bangalore,B.Com
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"JavaScript, DevOps",Kolkata,B.Sc
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Quality Control",Ahmedabad,B.Com
QA Engineer,ZEROIDA BROKING LIMITED,"Cloud Computing, Machine Learning, DevOps",Hyderabad,BCA
Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA
Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA
Software Developer,BALKRISHNA INDUSTRIES LIMITED,"Data Analysis, Python",Hyderabad,BA
Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc
Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA
Data Analyst,SUNDARAM FINANCE LIMITED,"Python, DevOps, Machine Learning, JavaScript",Delhi,PhD
Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
IT Support,POLYCAB INDIA LIMITED,"Cybersecurity, Cloud Computing, React, DevOps",Bangalore,PhD
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA
Surveyor,FINOLEX INDUSTRIES LIMITED,"Quality Control, Safety Management, Surveying",Mumbai,BBA
Project Engineer,D B POWER LIMITED,"Maintenance, Renewable Energy",Hyderabad,B.Tech
Software Developer,INFOSYS LIMITED,"Python, Data Analysis, JavaScript, Cybersecurity",Delhi,Diploma
Thermal Engineer,GODAWARI POWER AND ISPAT LIMITED,"Renewable Energy, Electrical Engineering, Power Plant Operations",Bangalore,MBA
Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech
Project Engineer,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Structural Design, Project Management, Quality Control",Pune,B.Com
DevOps Engineer,BERGER PAINTS INDIA LIMITED,"React, Machine Learning",Jaipur,Diploma
5G Specialist,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"IoT, Network Engineering, Wireless Communication",Hyderabad,B.Com
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
