candidate_skills,candidate_location,candidate_education,internship_title,internship_company,required_skills,internship_location,required_education
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,QA Engineer,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Data Analysis, Python, React",Pune,M.Sc
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Circuit Design, R&D, Quality Control",Pune,MBA
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Power Plant Operator,NTPC LIMITED,"Electrical Engineering, Grid Management, Transmission",Lucknow,PhD
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Site Engineer,GUJARAT ALKALIES AND CHEMICALS LIMITED,"Construction Management, Civil Engineering, Surveying",Lucknow,PhD
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Cloud Architect,KARNAVATI AVIATION PRIVATE LIMITED,"SQL, Java, DevOps",Ahmedabad,BA
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Machine Learning Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Data Analysis, Cybersecurity, SQL, DevOps",Hyderabad,MBA
"Battery Design, Process Engineering, Quality Control",Hyderabad,PhD,Surveyor,DECCAN FINE CHEMICALS (INDIA) PRIVATE LIMITED,"Safety Management, Surveying, Project Management, Construction Management",Bangalore,BCA
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Field Engineer,GUJARAT STATE PETRONET LIMITED,"Petroleum Engineering, Field Operations",Ahmedabad,B.Sc
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Marketing Executive,GLENMARK PHARMACEUTICALS LIMITED,"Product Development, Distribution, Marketing, Retail Management",Delhi,B.Tech
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Accountant,INDUSIND BANK LTD.,"Taxation, Financial Analysis, Accounting, Financial Modeling",Hyderabad,B.Sc
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,RF Engineer,HUAWEI TELECOMMUNICATIONS (INDIA) COMPANY PRIVATE LIMITED,"Network Engineering, Telecom Infrastructure, IoT, Wireless Communication",Kolkata,Diploma
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,DevOps Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Cybersecurity, SQL, JavaScript, Python",Remote,B.Tech
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Hardware Engineer,HONEYWELL AUTOMATION INDIA LIMITED,"PCB Design, R&D, Quality Control, Circuit Design",Hyderabad,PhD
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Cloud Architect,NATIONAL PAYMENTS CORPORATION OF INDIA,"Python, DevOps, Data Analysis",Remote,PhD
"Quality Control, Pharmacology, Medical Writing, Clinical Research, CAD, Testing, Assembly Line",Chennai,Diploma,Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech
"Materials Science, Process Engineering",Chennai,M.Sc,Web Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Cybersecurity, DevOps, Machine Learning, Data Analysis",Lucknow,BCA
"Materials Science, Process Engineering",Chennai,M.Sc,Site Engineer,SHREE CEMENT LIMITED,"Quality Control, Safety Management",Mumbai,MBA
"Materials Science, Process Engineering",Chennai,M.Sc,Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA
"Materials Science, Process Engineering",Chennai,M.Sc,Web Developer,TOYOTA KIRLOSKAR MOTOR PRIVATE LIMITED,"Data Analysis, React, JavaScript",Hyderabad,BCA
